model	setting	rep	mamba_name	mamba_node	value	mean	2.5%	25.0%	50.0%	75.0%	97.5%
mimix-0-factors	setting01	rep2	β[68, 1]	β	0.0	-0.0010975861057370368	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[69, 1]	β	0.0	-0.00011410886991646909	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[70, 1]	β	0.0	-0.0028998115284995713	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[71, 1]	β	0.0	-0.02545320052273699	-0.5580369087687607	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[72, 1]	β	0.0	-0.012332470229080184	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[73, 1]	β	0.0	-0.06853039067701727	-0.8440961934972664	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[74, 1]	β	0.0	-0.042760793755584385	-0.6868924097968475	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[75, 1]	β	0.0	-0.09056166597322005	-0.95841540203975	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[76, 1]	β	0.0	-0.06105209905850195	-0.9585036766582028	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[77, 1]	β	0.0	-0.01040378281905863	-0.15735129450740767	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[78, 1]	β	0.0	-0.036810714610553824	-0.5889741952990832	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[79, 1]	β	0.0	-0.003875384815277341	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[80, 1]	β	0.0	-0.008244900738424415	-0.10596533748058964	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[81, 1]	β	0.0	0.030384641121789093	0.0	0.0	0.0	0.0	0.652736546762975
mimix-0-factors	setting01	rep2	β[82, 1]	β	0.0	-0.00696126729657759	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[83, 1]	β	0.0	-0.00594709753793264	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[84, 1]	β	0.0	0.027202835628700385	0.0	0.0	0.0	0.0	0.4855784525548052
mimix-0-factors	setting01	rep2	β[85, 1]	β	0.0	0.004603485605886241	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[86, 1]	β	0.0	0.023450348596165915	0.0	0.0	0.0	0.0	0.4810505050222048
mimix-0-factors	setting01	rep2	β[87, 1]	β	0.0	-0.006468322272545862	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[88, 1]	β	0.0	0.003095185138323064	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[89, 1]	β	0.0	-0.0730948108839419	-1.4500455022137864	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[90, 1]	β	0.0	-0.007974356992812416	-0.016252357148450563	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[91, 1]	β	-2.116560210654334	-2.7886169586696994	-6.925083480997873	-2.760860750583483	-2.3728945383840987	-2.055776915740098	-1.6661955940962454
mimix-0-factors	setting01	rep2	β[92, 1]	β	-2.116560210654334	-2.6075954585320056	-7.169869884241454	-2.5651288666877585	-2.038199530528292	-1.7267193938429988	-1.2472680394239997
mimix-0-factors	setting01	rep2	β[93, 1]	β	-2.116560210654334	-3.1074826874796253	-7.16291953374975	-3.1466050867746933	-2.765657428154221	-2.4960189001732633	-2.0486132374249273
mimix-0-factors	setting01	rep2	β[94, 1]	β	-2.116560210654334	-2.626975899833316	-5.98635876368357	-2.638891041990487	-2.1820753721262705	-1.8592352444403624	-1.4871225179041097
mimix-0-factors	setting01	rep2	β[95, 1]	β	-2.116560210654334	-1.9501379195345725	-4.342872962881634	-2.0668822167548067	-1.8307791315195217	-1.5822724140448703	-1.1295911996822796
mimix-0-factors	setting01	rep2	β[96, 1]	β	0.0	-0.16102188527792166	-1.1493037015008043	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[97, 1]	β	0.0	-0.1331326119318691	-1.2090776417742568	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[98, 1]	β	0.0	-0.025125870252581547	-0.5415653101512329	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[99, 1]	β	0.0	-0.011905092995694573	-0.03940943870925814	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[100, 1]	β	0.0	-0.008898309888532312	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep3	β[1, 1]	β	0.0	-0.009301559595284276	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep3	β[2, 1]	β	0.0	-0.0014867920026394776	0.0	0.0	0.0	0.0	0.0
